"deviceid","name","company_name"
160851,TLB418,PLAFA S.A
181627,GDW489,PLAFA S.A
201106,SUBPRODUCTOS DE BOVINOS,PLAFA S.A
201107,BOVINOS 1 Y 2,PLAFA S.A
201187,PLAZA DE MERCADO,PLAFA S.A
210003,CAVA 1 Y 2 PORCINOS,PLAFA S.A
210004,VISCERAS Y CAVA 4 BOVINOS,PLAFA S.A
210005,CAVA 3 PORCINOS Y BOVINOS,PLAFA S.A
261141,CAVA 3 Y 4 PORCINOS,PLAFA S.A
261142,CAVA 5 Y 6 PORCINOS,PLAFA S.A
261143,CAVA 7 Y 8 PORCINOS,PLAFA S.A
602445,ABM006,PLAFA S.A
604054,JYN311,PLAFA S.A
171084,SYU247,Francisco Javier Abello Duarte
152001,YAP270,Carlos Andres Betancur Sanchez
152029,TMB178,Carlos Andres Betancur Sanchez
30325,SNQ099 (S12611),INVERSIONES PAYSANDU S.A.S.
30351,SNQ329 (S12605),INVERSIONES PAYSANDU S.A.S.
30470,SNS415 (S12628),INVERSIONES PAYSANDU S.A.S.
31447,SNN642 (R41090) (XXXU553606),INVERSIONES PAYSANDU S.A.S.
31503,S46603 (GDX107),INVERSIONES PAYSANDU S.A.S.
37200,R70805 (SNR010),INVERSIONES PAYSANDU S.A.S.
151019,SNX989 (S71301),INVERSIONES PAYSANDU S.A.S.
151213,SQY231 (S12606),INVERSIONES PAYSANDU S.A.S.
151718,SNR156 (S63291),INVERSIONES PAYSANDU S.A.S.
152393,SZY852 (R50640),INVERSIONES PAYSANDU S.A.S.
152430,SQW327 (R70804),INVERSIONES PAYSANDU S.A.S.
152704,SNR010 (R70805),INVERSIONES PAYSANDU S.A.S.
160018,S12611 (SNQ099),INVERSIONES PAYSANDU S.A.S.
160189,R41090 (XXXU553606) (SNN642),INVERSIONES PAYSANDU S.A.S.
160275,S52014 (WCR736),INVERSIONES PAYSANDU S.A.S.
160453,R14889 (SNK654 ),INVERSIONES PAYSANDU S.A.S.
160689,S35080 (GDX106),INVERSIONES PAYSANDU S.A.S.
160794,R50640 (SZY852),INVERSIONES PAYSANDU S.A.S.
161034,SUDU470370 (SC),INVERSIONES PAYSANDU S.A.S.
161133,S12606 (SQY231),INVERSIONES PAYSANDU S.A.S.
161238,XXXU5537385 (S69977),INVERSIONES PAYSANDU S.A.S.
161263,R70804 (SQW327),INVERSIONES PAYSANDU S.A.S.
161311,S12605 (SNQ329),INVERSIONES PAYSANDU S.A.S.
161441,SNR064 (R50598),INVERSIONES PAYSANDU S.A.S.
170621,WCR736 (S52014),INVERSIONES PAYSANDU S.A.S.
171096,GDX107 (S46603),INVERSIONES PAYSANDU S.A.S.
171100,GDX106 (S35080),INVERSIONES PAYSANDU S.A.S.
171666,SZY695 (S12631),INVERSIONES PAYSANDU S.A.S.
172037,GDY290 (S12626),INVERSIONES PAYSANDU S.A.S.
172416,GDY941 (S12655),INVERSIONES PAYSANDU S.A.S.
172455,GDY942 (S75410),INVERSIONES PAYSANDU S.A.S.
181330,R50598 (SNR064),INVERSIONES PAYSANDU S.A.S.
400788,S12628 (SNS415),INVERSIONES PAYSANDU S.A.S.
400789,S12629 (LJZ803),INVERSIONES PAYSANDU S.A.S.
401053,R30690 (SXU719),INVERSIONES PAYSANDU S.A.S.
401054,S12631 (SZY695),INVERSIONES PAYSANDU S.A.S.
601588,S12626 (GDY290),INVERSIONES PAYSANDU S.A.S.
601904,S62855 (LJZ804),INVERSIONES PAYSANDU S.A.S.
602356,XXXU5535124 (STP270),INVERSIONES PAYSANDU S.A.S.
602713,S12655 (GDY941),INVERSIONES PAYSANDU S.A.S.
701265,GENSET PRUEBA,INVERSIONES PAYSANDU S.A.S.
902200,LJZ865 (S73226),INVERSIONES PAYSANDU S.A.S.
903317,S71301 (SNX989),INVERSIONES PAYSANDU S.A.S.
904071,S73226 (LJZ865),INVERSIONES PAYSANDU S.A.S.
905079,LJZ803 (S12629),INVERSIONES PAYSANDU S.A.S.
905162,S75410 (GDY942),INVERSIONES PAYSANDU S.A.S.
905294,LJZ804 (S62855),INVERSIONES PAYSANDU S.A.S.
2141462656,SUDU4703187,INVERSIONES PAYSANDU S.A.S.
30462,XKF349,German Archila Rodriguez
31401,SYK040,German Alberto Penagos
37677,TVB964,RECUPERACIONES NARANJO RECYCLING SAS
37708,TVC529,RECUPERACIONES NARANJO RECYCLING SAS
39738,M318C,RECUPERACIONES NARANJO RECYCLING SAS
152331,TVC594,RECUPERACIONES NARANJO RECYCLING SAS
170449,WLV124,RECUPERACIONES NARANJO RECYCLING SAS
170517,TPV274,RECUPERACIONES NARANJO RECYCLING SAS
171374,UAN525,RECUPERACIONES NARANJO RECYCLING SAS
152460,SYL214,William Salcedo
152213,SUE324,Daniel Serrano Rangel
36000,"002",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36001,"004",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36005,"056",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36013,"380",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36018,"388",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36019,"063",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36021,"390",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36026,"391",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36029,"392",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36032,"061",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36033,"062",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36034,"373",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36040,"377",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36042,"060",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36043,"381",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36046,"053",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36047,"393",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36049,"384",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36052,"311",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36053,"314",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36057,"389",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36058,"374",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
