deviceid,company_name,totalLocations
171374,RECUPERACIONES NARANJO RECYCLING SAS,149
152460,William Salcedo,46
152213,Daniel Serrano Rangel,51
36000,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2187
36001,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1441
36005,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2192
36013,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1585
36018,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,800
36019,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36021,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36026,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1441
36029,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1441
36032,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2817
36033,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2703
36034,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36040,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36042,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2862
36043,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36046,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1695
36047,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36049,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36052,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36053,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1455
36057,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36058,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36061,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1441
36066,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36068,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36073,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36074,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2816
36078,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2680
36083,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36097,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1033
36098,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1784
36100,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36101,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1508
36104,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36112,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1441
36115,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36131,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2256
36134,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1440
36146,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
36152,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2603
36160,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2981
36169,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1715
37024,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1578
37051,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2564
37063,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1743
37064,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1583
37065,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2277
37650,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2545
171801,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,5
171809,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,5
400010,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2736
400011,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1560
400012,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400013,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400015,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400016,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400017,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400018,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400019,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400020,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400021,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400022,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400023,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2294
400024,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2344
400025,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,97
400042,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2624
400043,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400044,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400045,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
